,l3_code,l3_name,l2_code,l2_name,l1_code,l1_name
0,110101,种子,110100,种植业,110000,农林牧渔
1,110102,粮食种植,110100,种植业,110000,农林牧渔
2,110103,其他种植业,110100,种植业,110000,农林牧渔
3,110104,食用菌,110100,种植业,110000,农林牧渔
4,110201,海洋捕捞,110200,渔业,110000,农林牧渔
5,110202,水产养殖,110200,渔业,110000,农林牧渔
6,110301,林业Ⅲ,110300,林业Ⅱ,110000,农林牧渔
7,110402,畜禽饲料,110400,饲料,110000,农林牧渔
8,110403,水产饲料,110400,饲料,110000,农林牧渔
9,110404,宠物食品,110400,饲料,110000,农林牧渔
10,110501,果蔬加工,110500,农产品加工,110000,农林牧渔
11,110502,粮油加工,110500,农产品加工,110000,农林牧渔
12,110504,其他农产品加工,110500,农产品加工,110000,农林牧渔
13,110901,农业综合Ⅲ,110900,农业综合Ⅱ,110000,农林牧渔
14,110702,生猪养殖,110700,养殖业,110000,农林牧渔
15,110703,肉鸡养殖,110700,养殖业,110000,农林牧渔
16,110704,其他养殖,110700,养殖业,110000,农林牧渔
17,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔
18,220201,纯碱,220200,化学原料,220000,基础化工
19,220202,氯碱,220200,化学原料,220000,基础化工
20,220203,无机盐,220200,化学原料,220000,基础化工
21,220204,其他化学原料,220200,化学原料,220000,基础化工
22,220205,煤化工,220200,化学原料,220000,基础化工
23,220206,钛白粉,220200,化学原料,220000,基础化工
24,220305,涂料油墨,220300,化学制品,220000,基础化工
25,220307,民爆制品,220300,化学制品,220000,基础化工
26,220308,纺织化学制品,220300,化学制品,220000,基础化工
27,220309,其他化学制品,220300,化学制品,220000,基础化工
28,220311,氟化工,220300,化学制品,220000,基础化工
29,220313,聚氨酯,220300,化学制品,220000,基础化工
30,220315,食品及饲料添加剂,220300,化学制品,220000,基础化工
31,220316,有机硅,220300,化学制品,220000,基础化工
32,220317,胶黏剂及胶带,220300,化学制品,220000,基础化工
33,220401,涤纶,220400,化学纤维,220000,基础化工
34,220403,粘胶,220400,化学纤维,220000,基础化工
35,220404,其他化学纤维,220400,化学纤维,220000,基础化工
36,220405,氨纶,220400,化学纤维,220000,基础化工
37,220406,锦纶,220400,化学纤维,220000,基础化工
38,220501,其他塑料制品,220500,塑料,220000,基础化工
